Fichier          Welzl(nanosecondes)    Naif(nanosecondes)
test-0.ponts      39394800                 39100
test-1.points      8930100                 208922500
test-10.points      1714300                 83106100
test-100.points      599600                 136661500
test-1000.points      2200000                 143835300
test-1001.points      1030000                 113175700
test-1002.points      1203500                 74011200
test-1003.points      439600                 57471700
test-1004.points      184600                 59659100
test-1005.points      476200                 87045500
test-1006.points      617000                 71914900
test-1007.points      545600                 81836700
test-1008.points      339100                 93082700
test-1009.points      333400                 61699900
test-101.points      1859000                 88479400
test-1010.points      1839500                 88805300
test-1011.points      204100                 99597700
test-1012.points      309500                 86933600
test-1013.points      338400                 77186000
test-1014.points      561000                 64418400
test-1015.points      1479400                 112623500
test-1016.points      783400                 96873800
test-1017.points      386200                 67014000
test-1018.points      471400                 72752300
test-1019.points      333700                 73674400
test-102.points      1492200                 111988900
test-1020.points      1234300                 89263200
test-1021.points      499800                 73937200
test-1022.points      669600                 83196700
test-1023.points      273000                 88246900
test-1024.points      551700                 91387700
test-1025.points      689800                 78175200
test-1026.points      408100                 73690600
test-1027.points      208200                 76383000
test-1028.points      289000                 84038700
test-1029.points      281200                 72178900
test-103.points      753900                 128712600
test-1030.points      1045200                 109288700
test-1031.points      617600                 100925600
test-1032.points      357500                 90485100
test-1033.points      578200                 73844800
test-1034.points      459800                 79183100
test-1035.points      243200                 76687800
test-1036.points      348700                 62705300
test-1037.points      920400                 75828800
test-1038.points      717200                 65807200
test-1039.points      415300                 78716700
test-104.points      239900                 82175500
test-1040.points      607800                 57202200
test-1041.points      500100                 102625500
test-1042.points      842000                 84314400
test-1043.points      200500                 74429500
test-1044.points      520500                 83052200
test-1045.points      240000                 62822800
test-1046.points      254600                 72852800
test-1047.points      600000                 73478700
test-1048.points      533500                 72686100
test-1049.points      435000                 79657400
test-105.points      623600                 81817500
test-1050.points      287300                 87850300
test-1051.points      388800                 87324400
test-1052.points      970100                 115042300
test-1053.points      764600                 102332600
test-1054.points      219700                 76651600
test-1055.points      396300                 72221100
test-1056.points      226400                 63716000
test-1057.points      1193100                 123422200
test-1058.points      809700                 85413800
test-1059.points      636200                 87020200
test-106.points      784100                 112168200
test-1060.points      349500                 70297800
test-1061.points      591500                 110430500
test-1062.points      235800                 86226200
test-1063.points      524400                 83549600
test-1064.points      920500                 133778600
test-1065.points      697000                 88580400
test-1066.points      302000                 86895100
test-1067.points      997500                 120364500
test-1068.points      354500                 90302700
test-1069.points      134100                 75390600
test-107.points      278800                 85731000
test-1070.points      556000                 64546400
test-1071.points      950400                 109879900
test-1072.points      680100                 107246500
test-1073.points      344500                 102072300
test-1074.points      1188600                 128774900
test-1075.points      534800                 83301200
test-1076.points      257100                 72879600
test-1077.points      246600                 75771200
test-1078.points      760500                 73563000
test-1079.points      838000                 86681800
test-108.points      241200                 84415700
test-1080.points      392100                 62317500
test-1081.points      457700                 67273100
test-1082.points      202700                 66804500
test-1083.points      752300                 92675100
test-1084.points      506500                 105189000
test-1085.points      1128900                 88381000
test-1086.points      357300                 72799900
test-1087.points      653700                 74019400
test-1088.points      284400                 86520400
test-1089.points      1802200                 97762500
test-109.points      654600                 98741400
test-1090.points      444000                 100124100
test-1091.points      319200                 76170900
test-1092.points      280900                 93613600
test-1093.points      674700                 106870200
test-1094.points      779700                 89714100
test-1095.points      295700                 73775200
test-1096.points      387300                 68302200
test-1097.points      598400                 85763700
test-1098.points      1668000                 99985500
test-1099.points      543300                 108494900
test-11.points      1029900                 63610600
test-110.points      643100                 86373700
test-1100.points      485900                 71964600
test-1101.points      1280900                 147309800
test-1102.points      2132600                 190470400
